Message,Type,Severity,Security Category,Hotspot Priority,Rule Key,Rule Name,File Name,File Line,Impact MAINTAINABILITY,Impact RELIABILITY,Impact SECURITY
Array index out of bounds: (!n1 || ((a.addr[n0] ^ b.addr[n0]) < (1u << (32 - n1))));,VULNERABILITY,BLOCKER,,,external_AI-Triage-v8:AI-TRIAGE:c_S3519,AI-Triage-v8:AI-TRIAGE:c_S3519,lib/ip.h,324,MEDIUM,,
FIXME comment — developer-flagged unsafe code: /* FIXME: sequence number must be password/SA specific */,VULNERABILITY,BLOCKER,,,external_AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,proto/rip/packets.c,389,MEDIUM,,
"Arguments passed in wrong order: WALK_LIST(b, i->addrs)",CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S2234,AI-Triage-v8:AI-TRIAGE:c_S2234,nest/iface.c,589,MEDIUM,,
alloca() usage — potential stack overflow: /* Prepare the flow */,VULNERABILITY,BLOCKER,,,external_AI-Triage-v8:AI-TRIAGE:allocaCalled,AI-Triage-v8:AI-TRIAGE:allocaCalled,proto/bgp/packets.c,2209,MEDIUM,,
alloca() with network-controlled size — stack DoS: byte *dst = alloca(len);,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:semgrep_vuln_rules_rules_c_raptor_insecure_api_alloca,AI-Triage-v8:AI-TRIAGE:semgrep_vuln_rules_rules_c_raptor_insecure_api_alloca,proto/bgp/attrs.c,436,MEDIUM,,
"Function has too many lines: { if (fec && !--fec->uc) mpls_free_fec(x, fec); }",CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S912,AI-Triage-v8:AI-TRIAGE:c_S912,nest/mpls.c,1006,MEDIUM,,
FIXME comment — developer-flagged unsafe code: /* FIXME: Drop queued TLVs here? */,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,proto/babel/packets.c,1705,MEDIUM,,
Operator precedence ambiguity: /* Handle undefined export filter */,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S5261,AI-Triage-v8:AI-TRIAGE:c_S5261,proto/bgp/bgp.c,2637,MEDIUM,,
Null pointer dereference after failed allocation: byte *avaible_indexes = malloc(avaible_indexes_size);,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:nullPointerOutOfMemory,AI-Triage-v8:AI-TRIAGE:nullPointerOutOfMemory,filter/tree_test.c,114,MEDIUM,,
"Null pointer dereference: rte_update2(p->dst, net->n.addr, new, bucket->last_src ?: new->src);",VULNERABILITY,BLOCKER,,,external_AI-Triage-v8:AI-TRIAGE:c_S2259,AI-Triage-v8:AI-TRIAGE:c_S2259,proto/aggregator/aggregator.c,215,MEDIUM,,
"Dead store — value assigned but never used: buf += bsprintf(buf, "" (%d/%u)"", rte->attrs->pref, a->u.data);",CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S1854,AI-Triage-v8:AI-TRIAGE:c_S1854,proto/static/static.c,810,MEDIUM,,
FIXME comment — developer-flagged unsafe code: /* FIXME: perhaps check for channel state instead of disabled flag? */,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,proto/bgp/bgp.c,1220,MEDIUM,,
Local variable shadows outer variable: const struct babel_tlv_data *tlv_data;,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S1117,AI-Triage-v8:AI-TRIAGE:c_S1117,proto/babel/packets.c,1368,MEDIUM,,
Too many return statements: gr = getgrnam(s);,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S1912,AI-Triage-v8:AI-TRIAGE:c_S1912,sysdep/unix/main.c,925,MEDIUM,,
Local variable shadows outer variable: static void,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S1117,AI-Triage-v8:AI-TRIAGE:c_S1117,lib/slist_test.c,66,MEDIUM,,
Assignment inside condition: void,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S833,AI-Triage-v8:AI-TRIAGE:c_S833,proto/bfd/bfd.c,775,MEDIUM,,
alloca() usage — potential stack overflow: if (len <= 1024),CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:allocaCalled,AI-Triage-v8:AI-TRIAGE:allocaCalled,filter/tree.c,104,MEDIUM,,
Redundant parentheses: if ((ospf_is_v2(p) ?,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S1110,AI-Triage-v8:AI-TRIAGE:c_S1110,proto/ospf/packet.c,589,MEDIUM,,
alloca() inside loop — unbounded stack growth: for (r2 = r; r2; r2 = r2->mp_next),CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:cpp_alloca_in_loop,AI-Triage-v8:AI-TRIAGE:cpp_alloca_in_loop,proto/static/static.c,76,MEDIUM,,
"Dead store — value assigned but never used: buf += bsprintf(buf, "" (%d)"", rte->attrs->pref);",CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S1854,AI-Triage-v8:AI-TRIAGE:c_S1854,proto/static/static.c,812,MEDIUM,,
Function missing documentation: 3019 | static void,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:cpp_poorly_documented_function,AI-Triage-v8:AI-TRIAGE:cpp_poorly_documented_function,proto/bgp/bgp.c,3020,MEDIUM,,
FIXME comment — developer-flagged unsafe code: /* FIXME: Update neighbors' timers */,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,proto/ospf/iface.c,813,MEDIUM,,
alloca() usage — potential stack overflow: ea_list *ea = alloca(sizeof(ea_list) + 2 * sizeof(eattr));,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:allocaCalled,AI-Triage-v8:AI-TRIAGE:allocaCalled,sysdep/bsd/krt-sock.c,598,MEDIUM,,
Local variable shadows outer variable: static void,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S1117,AI-Triage-v8:AI-TRIAGE:c_S1117,lib/slist_test.c,165,MEDIUM,,
Function declared implicitly: for (i = 0; i < lsa_count; i++),CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S924,AI-Triage-v8:AI-TRIAGE:c_S924,proto/ospf/lsupd.c,85,MEDIUM,,
"Array index out of bounds: strcpy(buf - 4, ""..."");",CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S3519,AI-Triage-v8:AI-TRIAGE:c_S3519,lib/strtoul.c,136,MEDIUM,,
Function has too many lines: if (n->hello_cnt && (--n->ihu_cnt <= 0)),CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S912,AI-Triage-v8:AI-TRIAGE:c_S912,proto/babel/babel.c,901,MEDIUM,,
Assignment inside condition: void,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S833,AI-Triage-v8:AI-TRIAGE:c_S833,lib/md5.c,174,MEDIUM,,
goto statement used: if (a),CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S1909,AI-Triage-v8:AI-TRIAGE:c_S1909,nest/rt-attr.c,506,MEDIUM,,
Array index out of bounds: 337 | { return (a.addr[pos / 32] >> ((32 - n) - (pos % 32))) & ((1u << n) - 1); },CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S3519,AI-Triage-v8:AI-TRIAGE:c_S3519,lib/ip.h,337,MEDIUM,,
Redundant null check implies earlier null deref: if (n && n->cmd),CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:nullPointerRedundantCheck,AI-Triage-v8:AI-TRIAGE:nullPointerRedundantCheck,client/commands.c,199,MEDIUM,,
alloca() with network-controlled size — stack DoS: u32 *afl1 = alloca(caps->af_count * sizeof(u32));,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:semgrep_vuln_rules_rules_c_raptor_insecure_api_alloca,AI-Triage-v8:AI-TRIAGE:semgrep_vuln_rules_rules_c_raptor_insecure_api_alloca,proto/bgp/bgp.c,3028,MEDIUM,,
Function declared implicitly: while (n),CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S924,AI-Triage-v8:AI-TRIAGE:c_S924,filter/trie.c,726,MEDIUM,,
"Null pointer dereference in function call: if (memcmp(&cf->aggr_on[i].da, &p->aggr_on[i].da, sizeof(struct f_dynamic_attr)) != 0)",CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S5000,AI-Triage-v8:AI-TRIAGE:c_S5000,proto/aggregator/aggregator.c,764,MEDIUM,,
alloca() with network-controlled size — stack DoS: struct bgp_prefix *px = alloca(prefix_size);,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:semgrep_vuln_rules_rules_c_raptor_insecure_api_alloca,AI-Triage-v8:AI-TRIAGE:semgrep_vuln_rules_rules_c_raptor_insecure_api_alloca,proto/bgp/packets.c,2584,MEDIUM,,
Pointer arithmetic on non-array pointer: #include CONFIG_INCLUDE_SYSIO_H,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S956,AI-Triage-v8:AI-TRIAGE:c_S956,sysdep/unix/io.c,49,MEDIUM,,
Dead store — value assigned but never used: v6 = !v6;,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S1854,AI-Triage-v8:AI-TRIAGE:c_S1854,filter/trie_test.c,492,MEDIUM,,
Function declared implicitly: for (e = n->routes; e; e = e->next),CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S924,AI-Triage-v8:AI-TRIAGE:c_S924,nest/rt-show.c,118,MEDIUM,,
"FIXME comment — developer-flagged unsafe code: /* FIXME: better handle these changes, also handle in_keep_filtered */",CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,nest/proto.c,843,MEDIUM,,
Macro with side effects used multiple times: u64 decimal:8;,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S814,AI-Triage-v8:AI-TRIAGE:c_S814,nest/cmds.c,78,MEDIUM,,
Function declared implicitly: for (pos = &net->routes; old = *pos; pos = &old->next),CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S924,AI-Triage-v8:AI-TRIAGE:c_S924,nest/rt-table.c,3263,MEDIUM,,
goto statement used [REVIEW]: goto fixup;,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S1909,AI-Triage-v8:AI-TRIAGE:c_S1909,lib/slists.c,39,MEDIUM,,
"Path injection — user-controlled file path: if (!unix_read_config(&conf, name))",CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:cpp_path_injection,AI-Triage-v8:AI-TRIAGE:cpp_path_injection,sysdep/unix/main.c,295,MEDIUM,,
FIXME comment — developer-flagged unsafe code: /* FIXME: This should not happen */,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,proto/bfd/packets.c,118,MEDIUM,,
"FIXME comment — developer-flagged unsafe code: // FIXME: Better check, call flow_validate?",CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,lib/net.h,598,MEDIUM,,
FIXME comment — developer-flagged unsafe code: /* FIXME: Should copy transport */,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,AI-Triage-v8:AI-TRIAGE:cpp_fixme_comment,proto/rpki/rpki.c,1028,MEDIUM,,
goto statement used: if (nc->parent),CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S1909,AI-Triage-v8:AI-TRIAGE:c_S1909,nest/proto.c,1374,MEDIUM,,
Function declared implicitly: for (i = 0; i < lsa_count; i++),CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S924,AI-Triage-v8:AI-TRIAGE:c_S924,proto/ospf/lsupd.c,346,MEDIUM,,
Macro with side effects used multiple times: u64 val:48;,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S814,AI-Triage-v8:AI-TRIAGE:c_S814,nest/cmds.c,77,MEDIUM,,
alloca() with network-controlled size — stack DoS: byte *pass_key = alloca(pass_len);,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:semgrep_vuln_rules_rules_c_raptor_insecure_api_alloca,AI-Triage-v8:AI-TRIAGE:semgrep_vuln_rules_rules_c_raptor_insecure_api_alloca,proto/ospf/packet.c,170,MEDIUM,,
switch case falls through without comment: limit:,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S1219,AI-Triage-v8:AI-TRIAGE:c_S1219,proto/bgp/bgp.c,2203,MEDIUM,,
Null pointer dereference after failed allocation: tmp = init_cmd = malloc(len);,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:nullPointerOutOfMemory,AI-Triage-v8:AI-TRIAGE:nullPointerOutOfMemory,client/client.c,105,MEDIUM,,
"Function has too many parameters: 480 | bmp_peer_up_notif_msg_serialize(buffer *stream, const struct bmp_peer_hdr_info *peer,",CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S107,AI-Triage-v8:AI-TRIAGE:c_S107,proto/bmp/bmp.c,480,MEDIUM,,
Division by zero: do n = bt_random() % max;,CODE_SMELL,MAJOR,,,external_AI-Triage-v8:AI-TRIAGE:c_S3518,AI-Triage-v8:AI-TRIAGE:c_S3518,lib/bitmap_test.c,153,MEDIUM,,
